seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	3108674	3108778	105	*	X00004	5214	3109712	3178997	69286	+	933	upstream	933	PFKP
chr10	4867668	4867704	37	*	X00006	83592	4868369	4890251	21883	+	664	upstream	664	AKR1E2
chr10	6020204	6020367	164	*	X00013	3601	5994334	6020150	25817	-	53	upstream	53	IL15RA
chr10	6020173	6020367	195	*	X00014	3601	5994334	6020150	25817	-	22	upstream	22	IL15RA
chr10	7453682	7453816	135	*	X00033	57713	7200586	7453448	252863	-	233	upstream	233	SFMBT2
chr10	7453682	7453816	135	*	X00034	57713	7200586	7453448	252863	-	233	upstream	233	SFMBT2
chr10	7455292	7455361	70	*	X00035	57713	7200586	7453448	252863	-	1843	upstream	1843	SFMBT2
chr10	7455227	7455361	135	*	X00036	57713	7200586	7453448	252863	-	1778	upstream	1778	SFMBT2
chr10	7708671	7708805	135	*	X00037	80760	7601232	7708961	107730	-	0	inside	155	ITIH5
chr10	7708851	7708899	49	*	X00038	80760	7601232	7708961	107730	-	0	inside	61	ITIH5
chr10	8094831	8094965	135	*	X00049	2625	8096667	8117164	20498	+	1701	upstream	1701	GATA3
chr10	8095701	8095835	135	*	X00050	2625	8096667	8117164	20498	+	831	upstream	831	GATA3
chr10	8095701	8095835	135	*	X00050	399717	8092413	8095447	3035	-	253	upstream	253	GATA3-AS1
chr10	12390526	12390840	315	*	X00059	57118	12391583	12871733	480151	+	742	upstream	742	CAMK1D
chr10	12390526	12390840	315	*	X00060	57118	12391583	12871733	480151	+	742	upstream	742	CAMK1D
chr10	15761385	15761624	240	*	X00073	8516	15559088	15761770	202683	-	0	inside	145	ITGA8
chr10	15761385	15761624	240	*	X00074	8516	15559088	15761770	202683	-	0	inside	145	ITGA8
chr10	17270137	17270286	150	*	X00076	7431	17270258	17279592	9335	+	0	overlapStart	0	VIM
chr10	17497606	17497669	64	*	X00078	338596	17362676	17496254	133579	-	1351	upstream	1351	ST8SIA6
chr10	17497606	17497740	135	*	X00079	338596	17362676	17496254	133579	-	1351	upstream	1351	ST8SIA6
